🌈 4K UHD,#genre#
囲碁・将棋ライト (FAST),http://iptv.852851.xyz/l/jCSOuGFYj86nmOlmgZ5u8zOa2fWPqmESJrnszOFuY-3o5OyViLt0r5audF49AIfx/index.m3u8
丸ごと北海道 (FAST),http://iptv.852851.xyz/l/RdtBe6mw2HyY3dbndF26CD6ykWNar05Cl1FRbBNkDfFtu8TnPpOub3On_TsRZUmK/index.m3u8
東海ロキポ (FAST),http://iptv.852851.xyz/l/Oj370tXT7KB0hKRQ6570kwgffOohAcOWnMnb2L44_38mHByu_ALScnGoZkvX20vh/index.m3u8
韓流チャンネル (FAST),http://iptv.852851.xyz/l/Fms8_2gAzf9bM1_5sykY42gBM24KC2YC2uYVP6HI1IPo3V7fSb2HTS4zwFyEyR1t/index.m3u8
QVC,http://iptv.852851.xyz/l/S6DlwJ9ARwekKdQsFoSohzQz3vEoaCVQbOuTsIx4Ko2yDtnuhKK2Wj8XsWPl6qqq/index.m3u8
GSTV,http://iptv.852851.xyz/l/kwjazSSGltM2itvQdpqmV_wqDXJhP-BDCToP9XqsE-Y4cfNX67k9xwiHEgyfrA0J/index.m3u8
🇸🇬 新加坡频道,#genre#
Hub Premier 6 HD,http://iptv.852851.xyz/l/IV6_7UoCLmvYHl4JXAO8sJEWNbFkM-7bb4dQgZSD0muUixCisH6Q0Zr4mp7aSQn-/index.m3u8
Hub Premier 5 HD,http://iptv.852851.xyz/l/LKtlOhTjVPTCE1EfbLjjHIAlD5wI_q-dFmT6mmHQobqv7c3sEDzJT2hmBzE4R5_n/index.m3u8
Hub Premier 4 HD,http://iptv.852851.xyz/l/_kq6zjpC5fjPednG-pdls0fKPKaAhkwGyUsg3CEI_8oSbQLOpGuXyo-NnJ8xxeDk/index.m3u8
Hub Premier 3 HD,http://iptv.852851.xyz/l/9rNtuRTyzcCWu1e6qvA_4Q6GlIsVRCTQoUrDCa56wR9RlCZ6bBwkhNizH0jz55mK/index.m3u8
Hub Premier 2 HD,http://iptv.852851.xyz/l/OmGcQqkWxY1wzLv5QcAFpuxd_raUlS_hypjvPCty52613d_pMq0vKtjhqGruun2w/index.m3u8
Hub Premier 1 HD,http://iptv.852851.xyz/l/BDxYOwAPP09R2P4TLnBiivaSjIZ7mnrwndv9fWZNI7X49ORZwyjjI-lmnrJhfqH2/index.m3u8
beIN Sports 5 HD,http://iptv.852851.xyz/l/0cMnhIXXvp0EMrqd4tyuxrMhFAQgsSzBnv5a00v1_nopYM67pgxHsUczk4jKE-Ld/index.m3u8
beIN Sports 4 HD,http://iptv.852851.xyz/l/ds2RE3fhPcKDhbY8gVwJ_iRx24Xp026f_SuhJNpu-J-A3qPQenl2Vf4VY8z4zKNO/index.m3u8
beIN Sports 3 HD,http://iptv.852851.xyz/l/sno3hLs99gTHi2hm_1MhHCCAKzPMkFph6l2r8rVEsnvxgYGfM7If3wAH92pPtCZm/index.m3u8
beIN Sports 2 HD,http://iptv.852851.xyz/l/dE1pPzuL3ViZSiTVb_LqyO-Q_PDboNPq8B2CYxSDoFEzKDOFyLNIaP-P0lL3RUXw/index.m3u8
Hub Sports 8 HD,http://iptv.852851.xyz/l/CpuLizcXA7_zed1jCbf_wNJA_hoPPQ9nqaXHMnbqi-Fj2Xcmja__rl4RnH8J0KSZ/index.m3u8
Hub Sports 7 HD,http://iptv.852851.xyz/l/VLDLTmPoT1RAwSb51hdY9oGlxSBbu96WgKSHbXnFpihIEu3AZpNO1OYYJqT4e4la/index.m3u8
Hub Sports 6 HD,http://iptv.852851.xyz/l/7hJy2127ef1Vmt74_hwGhHVYpPb-3eeU2bsMbzEfV59jNk_0KvKAF33-_i6IgYpm/index.m3u8
Hub Sports 5 HD,http://iptv.852851.xyz/l/ldUj71_iIMjWgejw0XJMp8NvGBkzGZ48NprxAS1dd1CSrqfddHeGSVUt4LGJZn3R/index.m3u8
Hub Sports 4 HD,http://iptv.852851.xyz/l/3JtfwrCbFhfPvbIqulY6WfV5Z3iIi9NSYi_BMy6BczT00msdnP38w78LSiX5sloh/index.m3u8
Hub Sports 3 HD,http://iptv.852851.xyz/l/SyPZe9lhdtytbFNTgPDoFv38SV8k7hwkIbNSM0VJvRZoskB7nyjqwxgx4Rd5Szdl/index.m3u8
Hub Sports 2 HD,http://iptv.852851.xyz/l/Uy01rfKuQiU4z-ONg-ZLmom6uzR8e2C7WNo8gRRhZhndC0PPyTFgSVULrEzLH8xb/index.m3u8
Hub Sports 1 HD,http://iptv.852851.xyz/l/7Asrbux_vkFdn5hVJiQQhZs5FTtomkUnk5ojX0itoET2Bev6EL8JRoNfVySMLrBh/index.m3u8
FIGHT SPORTS HD,http://iptv.852851.xyz/l/ZXag24eiHHkWWRCV4PGrQrtjDd-M0zijouAyDTgCqUfM5RGbiM3na-eg4DIdAU4u/index.m3u8
